status,aspect,sentiment,compound
Normal,hopelessness,negative,-0.5949
Normal,sleep,negative,-0.6086
Normal,social_support,negative,-0.34
Normal,social_support,positive,0.8591
Normal,sleep,negative,-0.4404
Normal,sleep,neutral,0.0
Normal,social_support,positive,0.4939
Normal,sleep,negative,-0.4927
Normal,hopelessness,negative,-0.1379
Normal,hopelessness,positive,0.3818
Normal,sleep,negative,-0.1027
Normal,hopelessness,negative,-0.2263
Normal,hopelessness,neutral,0.0
Normal,sleep,neutral,0.0
Normal,hopelessness,positive,0.5267
Normal,social_support,negative,-0.7783
Normal,appetite,negative,-0.5319
Normal,concentration,positive,0.8643
Normal,social_support,positive,0.654
Normal,sleep,neutral,0.0
Normal,sleep,positive,0.4019
Normal,social_support,positive,0.1476
Normal,social_support,positive,0.7269
Normal,sleep,positive,0.4404
Normal,social_support,positive,0.7003
Normal,social_support,positive,0.4127
Normal,medication,negative,-0.5106
Normal,hopelessness,positive,0.2732
Normal,social_support,positive,0.7096
Normal,hopelessness,neutral,-0.0258
Normal,appetite,positive,0.4588
Normal,appetite,positive,0.775
Normal,appetite,negative,-0.3374
Normal,hopelessness,negative,-0.296
Normal,sleep,negative,-0.4404
Normal,sleep,negative,-0.7003
Normal,social_support,positive,0.4939
Normal,self_harm,negative,-0.6908
Normal,sleep,negative,-0.4927
Normal,sleep,neutral,-0.0258
Normal,social_support,positive,0.7777
Normal,social_support,positive,0.0516
Normal,social_support,positive,0.4939
Normal,sleep,negative,-0.4404
Normal,hopelessness,negative,-0.4404
Normal,appetite,positive,0.4939
Normal,sleep,negative,-0.5719
Normal,hopelessness,neutral,0.0
Normal,appetite,positive,0.5106
Normal,social_support,positive,0.5106
Normal,medication,positive,0.5256
Normal,concentration,neutral,0.0
Normal,appetite,neutral,0.0424
Normal,sleep,positive,0.1779
Normal,sleep,negative,-0.6823
Normal,sleep,negative,-0.2023
Normal,social_support,negative,-0.1828
Normal,sleep,neutral,0.0
Normal,sleep,negative,-0.6249
Normal,social_support,positive,0.4939
Normal,social_support,positive,0.9749
Normal,medication,negative,-0.4215
Normal,social_support,positive,0.4939
Normal,hopelessness,positive,0.69
Normal,social_support,negative,-0.1027
Normal,motivation,positive,0.7303
Normal,appetite,positive,0.1326
Normal,sleep,negative,-0.8225
Normal,hopelessness,negative,-0.8225
